%        M          T          N       tree    ordered
       101         20        121        260          4
       151         30        182        730          9
       227         45        273       2112         20
       341         68        410       5989         50
       512        102        615      16450        108
       768        153        922      42261        236
      1153        230       1383     104693        533
      1729        345       2075     276387       1321
